Name_Hebrew,Name,Wikibase Registry ID,occupation,place of birth,date of birth,sex or gender,Number of movies,Movies list,Year,Movie QID
,,,,,,,,Planes: Fire & Rescue,2014,Q15631322
,,,,,,,,Cars 2,2011,Q192212
,,,,,,,,Star Wars: The Clone Wars,2008,Q382289
,,,,,,,,A Turtle's Tale: Sammy's Adventures,2010,Q785058
,,,,,,,,Super Monsters Save Halloween,2018,Q60169180
,,,,,,,,Super Monsters Save Christmas,2019,Q78130888
,,,,,,,,מפלצות העל: בחזרה מהחופשה (2019),2019,
,,,,,,,,Super Monsters: Vida's First Halloween,2019,Q70206911
,,,,,,,,Super Monsters: The New Class,2020,Q98033270
,,,,,,,,מפלצות העל: העוזרים של סנטה (2020),2020,
,,,,,,,,Super Monsters and the Wish Star,2018,Q59631741
,,,,,,,,Super Monsters Furever Friends,2019,Q76881078
,,,,,,,,Monsters vs. Aliens,2009,Q681918
,,,,,,,,Mr. Peabody & Sherman,2014,Q6929072
,,,,,,,,Mirror Mirror,2012,Q628851
,,,,,,,,Mary Poppins Returns,2018,Q24272881
,,,,,,,,Gnomeo & Juliet,2011,Q753677
,,,,,,,,Nanny McPhee and the Big Bang,2010,Q785249
,,,,,,,,Spider-Man: Into the Spider-Verse,2018,Q29588607
,,,,,,,,City of Ember,2009,Q1094125
,,,,,,,,Paddington 2,2018,Q27590871
,,,,,,,,ParaNorman,2012,Q198028
,,,,,,,,Coco,2017,Q5815826
,,,,,,,,Kangaroo Jack: G'Day U.S.A.!,2005,Q4189554
,,,,,,,,Wreck-It Ralph,2012,Q28891
,,,,,,,,Ralph Breaks the Internet,2018,Q25167044
,,,,,,,,Rango,2011,Q275432
,,,,,,,,The Nut Job,2014,Q7754519
,,,,,,,,Rise of the Guardians,2012,Q136625
,,,,,,,,Shark Tale,2004,Q120367
אברי ארבל,אברי ארבל,Q55266789,stage actor,Jerusalem,1982-04-13T00:00:00Z,male,3,Alpha and Omega,2010,Q645405
,,,,,,,,בקצב הדמיון - הקונצרט (2011),2011,
,,,,,,,,Despicable Me 2,2013,Q637212
אגם בוחבוט,Agam Buhbut,Q25336899,singer,Beersheba,2003-12-08T00:00:00Z,female,1,The Stolen Princess: Ruslan and Ludmila,2018,Q16714960
אגם רודברג,Agam Rudberg,Q6847375,actor,Ramat Tzvi,1986-02-08T00:00:00Z,female,1,Hoodwinked!,2006,Q640979
,,,dub actor,,,,,,,
,,,model,,,,,,,
אגם שצברג,אגם שצברג,Q105811025,dub actor,,,,2,Barbie and the Magic of Pegasus,2005,Q2545039
,,,,,,,,Pokémon the Movie: I Choose You!,2018,Q28016163
אדוה פרץ,אדוה פרץ,Q105811028,dub actor,,,,1,Winx Club 3D: Magical Adventure,2011,Q636152
אדם,אדם,Q105811029,,,,,1,Despicable Me 3,2017,Q22997984
אדם ג'ק אימבר,אדם ג'ק אימבר,Q105811030,dub actor,,,,1,The Angry Birds Movie 2,2019,Q18722273
אדם גבאי,adam gabay,Q70341443,actor,,1998-04-24T00:00:00Z,male,2,Ghost Hunters,2015,Q19971213
,,,,,,,,Bee Movie,2007,Q275167
אדם זילברמן,אדם זילברמן,Q105811031,dub actor,,,,16,אאוץ - ספיישל קורונה (2020),2020,
,,,,,,,,The Magic School Bus Rides Again in the Zone,2020,Q104602617
,,,,,,,,The Magic School Bus Rides Again: Kids in Space,2020,Q98708524
,,,,,,,,The Magic School Bus Rides Again: The Frizz Connection,2020,Q100951941
,,,,,,,,Aladdin,2019,Q27188178
,,,,,,,,The SpongeBob Movie: Sponge on the Run,2020,Q61450772
,,,,,,,,דינו דנה - הסרט (2020),2020,
,,,,,,,,הבולשת - הסרט (2017),2017,
,,,,,,,,How to Train Your Dragon: The Hidden World,2019,Q22970530
,,,,,,,,Beauty and the Beast,2017,Q19946102
,,,,,,,,The Sleepover,2020,Q66828817
,,,,,,,,The Lion King,2019,Q27044293
,,,,,,,,Spies in Disguise,2019,Q31271382
,,,,,,,,Klaus,2019,Q67208596
,,,,,,,,Remi,2019,Q55160829
,,,,,,,,Shooom's Odyssey,2020,Q97167608
אדם זמק,אדם זמק,Q105811032,dub actor,,,,1,The Black Cauldron,2014,Q329316
אדם טביב,אדם טביב,Q105811033,dub actor,,,,3,Titan A.E.,2000,Q59781
,,,,,,,,Stuart Little,1999,Q1048958
,,,,,,,,The Iron Giant,1999,Q867283
אדם נוישטיין,אדם נוישטיין,Q105811034,dub actor,,,,2,A Goofy Movie,1995,Q869993
,,,,,,,,Peter Pan,1992,Q270470
אדם קנת,Adam Kenneth,Q6583142,actor,,1995-03-01T00:00:00Z,male,1,Space Buddies,2010,Q2448596
,,,dub actor,,,,,,,
אדם ריפטין,אדם ריפטין,Q105811035,dub actor,,,,3,The Secret Life of Pets 2,2019,Q28561715
,,,,,,,,The Lion King,2019,Q27044293
,,,,,,,,Mary Poppins Returns,2018,Q24272881
אדר יהושע,אדר יהושע,Q105811036,dub actor,,,,1,Miss Spider's Sunny Patch Kids,2005,Q6877431
אהרון פררה,Aharon Ferera,Q6627096,television presenter,Jerusalem,1962-03-21T00:00:00Z,male,1,The Gnomes' Great Adventure,1993,Q7736857
,,,singer,,,,,,,
אהרון קפלן,Aaron Kaplan,Q6967221,singer,Chicago,1959-12-22T00:00:00Z,male,1,Robin Hood,1992,Q19090
,,,actor,,,,,,,
אודי גוטשלק,אודי גוטשלק,Q30526520,entertainer,,1975-06-22T00:00:00Z,male,1,Escape from Planet Earth,2013,Q1658594
אודי לוי,אודי לוי,Q105811038,,,,,1,One Hundred and One Dalmatians,1989,Q165512
אודי רוטשילד,אודי רוטשילד,Q65252364,stage actor,Afula,1980-08-06T00:00:00Z,male,4,Bling,2016,Q17620779
,,,,,,,,Mars Needs Moms,2011,Q1320985
,,,,,,,,Hop,2011,Q753605
,,,,,,,,Cars 3,2017,Q21079862
אודי רצין,אודי רצין,Q105811039,dub actor,,,,2,Heidi,2017,Q21646479
,,,,,,,,Malibu Rescue,2019,Q64453412
אודליה אלמוג,אודליה אלמוג,Q105811040,dub actor,,,,2,Dolittle,2020,Q38689704
,,,,,,,,Harvie and the Magic Museum,2018,Q41252539
אודליה מורה מטלון,Odelia Mora-Matalon,Q6645697,dub actor,,1967-01-12T00:00:00Z,female,26,Atlantis: The Lost Empire,2001,Q318975
,,,stage actor,,,,,The Emoji Movie,2017,Q23999306
,,,,,,,,Faeries,2001,Q5429331
,,,,,,,,Arthur and the Minimoys,2006,Q550232
,,,,,,,,Barnyard,2006,Q1129308
,,,,,,,,The Wild,2006,Q757250
,,,,,,,,Nim's Island,2008,Q177340
,,,,,,,,How to Train Your Dragon 2,2014,Q10298666
,,,,,,,,How to Train Your Dragon: The Hidden World,2019,Q22970530
,,,,,,,,The Secret Life of Pets 2,2019,Q28561715
,,,,,,,,The Boy Who Wanted To Be A Bear,2004,Q3203052
,,,,,,,,The Princess and the Frog,2010,Q171300
,,,,,,,,Ella Enchanted,2004,Q939325
,,,,,,,,The Real Shlemiel,2004,Q2898231
,,,,,,,,Bee Movie,2007,Q275167
,,,,,,,,Racing Stripes,2005,Q1165633
,,,,,,,,Madagascar: Escape 2 Africa,2008,Q188474
,,,,,,,,Madagascar 3: Europe's Most Wanted,2012,Q244247
,,,,,,,,Cars,2006,Q182153
,,,,,,,,Enchanted,2007,Q490464
,,,,,,,,The Lion King,2019,Q27044293
,,,,,,,,Scooby-Doo 2: Monsters Unleashed,2004,Q581666
,,,,,,,,The Spiderwick Chronicles,2008,Q461768
,,,,,,,,TMNT,2007,Q203108
,,,,,,,,"רש""י (1999)",1999,
,,,,,,,,Shrek 2,2004,Q485983
אודם שצברג,אודם שצברג,Q105811041,dub actor,,,,9,Barbie & Her Sisters in a Pony Tale,2018,Q15709914
,,,,,,,,Barbie in Rock 'N Royals,2015,Q23747502
,,,,,,,,Barbie & Her Sisters in the Great Puppy Adventure,2015,Q23758904
,,,,,,,,Luis and the Aliens,2018,Q54152472
,,,,,,,,Nine Lives,2016,Q20002304
,,,,,,,,A Christmas Moose Miracle,2018,Q59956971
,,,,,,,,The Peanuts Movie,2015,Q15982441
,,,,,,,,The Lego Ninjago Movie,2017,Q22131901
,,,,,,,,"Trenk, the Little Knight",2016,Q21532428
אוהד דחף,אוהד דחף,Q105811043,dub actor,,,,1,Bee Movie,2007,Q275167
אוהד יהודאי,אוהד יהודאי,Q105811044,dub actor,,,,5,The Smurfs,2011,Q454398
,,,,,,,,Beauty and the Beast,2017,Q19946102
,,,,,,,,Zambezia,2012,Q564661
,,,,,,,,Frozen,2013,Q246283
,,,,,,,,Finding Dory,2016,Q9321426
אוהד כליפי,אוהד כליפי,Q105811045,dub actor,,,,1,Wheely,2019,Q56315512
אוהד עילם,אוהד עילם,Q105811046,dub actor,,,,6,The Smurfs and the Magic Flute,2011,Q587692
,,,,,,,,"הרמב""ם (2006)",2006,
,,,,,,,,Yu-Gi-Oh! The Movie: Pyramid of Light,2004,Q962917
,,,,,,,,נדב ידי זהב - מצילים את המוסך (2011),2011,
,,,,,,,,Handy Manny's Motorcycle Adventure,2011,Q5647726
,,,,,,,,עבודת הבנייה הגדולה של נדב ידי זהב (2012),2012,
אוהד שחר,Ohad Shahar,Q11293387,actor,Haifa,1957-10-30T00:00:00Z,male,256,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1996,Q1995292
,,,dub actor,,,,,102 Dalmatians,2000,Q165847
,,,stage actor,,,,,Legend of the Guardians: The Owls of Ga'Hoole,2010,Q622763
,,,,,,,,DuckTales the Movie: Treasure of the Lost Lamp,1991,Q1263501
,,,,,,,,Brother Bear 2,2006,Q641310
,,,,,,,,Atlantis: The Lost Empire,2001,Q318975
,,,,,,,,The Return of Jafar,1994,Q817261
,,,,,,,,Aladdin and the King of Thieves,1996,Q817003
,,,,,,,,Aladdin,1993,Q215518
,,,,,,,,Alice in Wonderland,1990,Q189875
,,,,,,,,Alice in Wonderland,2010,Q174385
,,,,,,,,Asterix: The Land of the Gods,2015,Q17154837
,,,,,,,,Thumbelina,1993,Q965266
,,,,,,,,Arthur and the Minimoys,2006,Q550232
